Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name	Description
YDR389W	YDR389W	YDR389W	SAC7	"GTPase activating protein (GAP) for Rho1p; regulator of a Tor2p-mediated, Rho1p GTPase switch that controls organization of the actin cytoskeleton; negative regulator of the RHO1-PKC1-MAPK cell integrity (CWI) and membrane fluidity homeostasis signaling pathways; potential Cdc28p substrate; SAC7 has a paralog, BAG7, that arose from the whole genome duplication [Source:SGD;Acc:S000002797]"
YDR390C	YDR390C	YDR390C	UBA2	"Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability;  [Source:SGD;Acc:S000002798]"
YDR391C	YDR391C	YDR391C		Putative protein of unknown function; possibly involved in zinc homeostasis; Bdf1p-dependent transcription induced by salt stress; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus [Source:SGD;Acc:S000002799]
YDR392W	YDR392W	YDR392W	SPT3	"Subunit of the SAGA and SAGA-like transcriptional regulatory complexes; interacts with Spt15p to activate transcription of some RNA polymerase II-dependent genes, also functions to inhibit transcription at some promoters; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000002800]"
YDR393W	YDR393W	YDR393W	SHE9	Protein required for normal mitochondrial morphology; mitochondrial inner membrane protein; may be involved in fission of the inner membrane; forms a homo-oligomeric complex [Source:SGD;Acc:S000002801]
YDR394W	YDR394W	YDR394W	RPT3	ATPase of the 19S regulatory particle of the 26S proteasome; one of ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; substrate of N-acetyltransferase B [Source:SGD;Acc:S000002802]
YDR395W	YDR395W	YDR395W	SXM1	"Nuclear transport factor (karyopherin); involved in protein transport between the cytoplasm and nucleoplasm; similar to Nmd5p, Cse1p, Lph2p, and the human cellular apoptosis susceptibility protein, CAS1 [Source:SGD;Acc:S000002803]"
YDR396W	YDR396W	YDR396W		Dubious open reading frame unlikely to encode a functional protein; extensively overlaps essential NCB2 gene encoding the beta subunit of the NC2 dimeric histone-fold complex [Source:SGD;Acc:S000002804]
YDR397C	YDR397C	YDR397C	NCB2	Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2beta; complex also includes Bur6p [Source:SGD;Acc:S000002805]
YDR398W	YDR398W	YDR398W	UTP5	Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit [Source:SGD;Acc:S000002806]
YDR399W	YDR399W	YDR399W	HPT1	Dimeric hypoxanthine-guanine phosphoribosyltransferase; catalyzes the transfer of the phosphoribosyl portion of 5-phosphoribosyl-alpha-1-pyrophosphate to a purine base (either guanine or hypoxanthine) to form pyrophosphate and a purine nucleotide (either guanosine monophosphate or inosine monophosphate); mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome [Source:SGD;Acc:S000002807]
YDR400W	YDR400W	YDR400W	URH1	Uridine nucleosidase (uridine-cytidine N-ribohydrolase); cleaves N-glycosidic bonds in nucleosides; involved in the pyrimidine salvage and nicotinamide riboside salvage pathways [Source:SGD;Acc:S000002808]
YDR401W	YDR401W	YDR401W		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002809]"
YDR402C	YDR402C	YDR402C	DIT2	"N-formyltyrosine oxidase; sporulation-specific microsomal enzyme involved in the production of N,N-bisformyl dityrosine required for spore wall maturation, homologous to cytochrome P-450s [Source:SGD;Acc:S000002810]"
YDR403W	YDR403W	YDR403W	DIT1	Sporulation-specific enzyme required for spore wall maturation; involved in the production of a soluble LL-dityrosine-containing precursor of the spore wall; transcripts accumulate at the time of prospore enclosure [Source:SGD;Acc:S000002811]
YDR404C	YDR404C	YDR404C	RPB7	"RNA polymerase II subunit B16; forms dissociable heterodimer with Rpb4p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors to transcribing RNA polymerase II complex, export of mRNA to cytoplasm under stress conditions; also involved in translation initiation [Source:SGD;Acc:S000002812]"
YDR405W	YDR405W	YDR405W	MRP20	Mitochondrial ribosomal protein of the large subunit [Source:SGD;Acc:S000002813]
YDR406W	YDR406W	YDR406W	PDR15	"Plasma membrane ATP binding cassette (ABC) transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog, PDR5, that arose from the whole genome duplication [Source:SGD;Acc:S000002814]"
YDR406W-A	YDR406W-A	YDR406W-A		Dubious open reading frame unlikely to encode a functional protein; identified by fungal homology and RT-PCR [Source:SGD;Acc:S000028543]
YDR407C	YDR407C	YDR407C	TRS120	"Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating intra-Golgi and endosome-Golgi traffic [Source:SGD;Acc:S000002815]"
YDR408C	YDR408C	YDR408C	ADE8	Phosphoribosyl-glycinamide transformylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway [Source:SGD;Acc:S000002816]
YDR409W	YDR409W	YDR409W	SIZ1	"SUMO/Smt3 ligase; promotes attachment of small ubiquitin-related modifier sumo (Smt3p) to proteins; regulates Rsp5p ubiquitin ligase activity and is in turn itself regulated by Rsp5p; binds Ubc9p and may bind septins; specifically required for sumoylation of septins in vivo; localized to the septin ring; SIZ1 has a paralog, NFI1, that arose from the whole genome duplication [Source:SGD;Acc:S000002817]"
YDR410C	YDR410C	YDR410C	STE14	"Farnesyl cysteine-carboxyl methyltransferase; mediates the carboxyl methylation step during C-terminal CAAX motif processing of a-factor and RAS proteins in the endoplasmic reticulum, localizes to the ER membrane [Source:SGD;Acc:S000002818]"
YDR411C	YDR411C	YDR411C	DFM1	"Endoplasmic reticulum (ER) localized protein; involved in ER-associated protein degradation (ERAD), ER stress, and homeostasis; interacts with components of ERAD-L and ERAD-C and Cdc48p; derlin-like family member similar to Der1p [Source:SGD;Acc:S000002819]"
YDR412W	YDR412W	YDR412W	RRP17	Component of the pre-60S pre-ribosomal particle; required for cell viability under standard (aerobic) conditions but not under anaerobic conditions; exonuclease required for 5&#8242; end processing of pre-60S ribosomal RNA [Source:SGD;Acc:S000002820]
YDR413C	YDR413C	YDR413C		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the essential uncharacterized ORF YDR412W that is implicated in rRNA processing [Source:SGD;Acc:S000002821]"
YDR414C	YDR414C	YDR414C	ERD1	"Predicted membrane protein required for lumenal ER protein retention; mutants secrete the endogenous ER protein, BiP (Kar2p) [Source:SGD;Acc:S000002822]"
YDR415C	YDR415C	YDR415C		Putative aminopeptidase [Source:SGD;Acc:S000002823]
YDR416W	YDR416W	YDR416W	SYF1	"Member of the NineTeen Complex (NTC); that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; null mutant has splicing defect and arrests in G2/M; relocalizes to the cytosol in response to hypoxia; homologs in human and C. elegans [Source:SGD;Acc:S000002824]"
YDR417C	YDR417C	YDR417C		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RPL12B/YDR418W [Source:SGD;Acc:S000002825]"
YDR418W	YDR418W	YDR418W	RPL12B	"Ribosomal 60S subunit protein L12B; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to mammalian ribosomal protein L12 and bacterial L11; RPL12B has a paralog, RPL12A, that arose from the whole genome duplication [Source:SGD;Acc:S000002826]"
YDR419W	YDR419W	YDR419W	RAD30	DNA polymerase eta; involved in translesion synthesis during post-replication repair; catalyzes the synthesis of DNA opposite cyclobutane pyrimidine dimers and other lesions; involved in formation of post-replicative damage-induced genome-wide cohesion; may also have a role in protection against mitochondrial mutagenesis; mutations in human pol eta are responsible for XPV [Source:SGD;Acc:S000002827]
YDR420W	YDR420W	YDR420W	HKR1	"Mucin family member that functions as an osmosensor in the HOG pathway; functions in the Sho1p-mediated HOG pathway with Msb2p; proposed to be a negative regulator of filamentous growth; mutant displays defects in beta-1,3 glucan synthesis and bud site selection [Source:SGD;Acc:S000002828]"
YDR421W	YDR421W	YDR421W	ARO80	Zinc finger transcriptional activator of the Zn2Cys6 family; activates transcription of aromatic amino acid catabolic genes in the presence of aromatic amino acids [Source:SGD;Acc:S000002829]
YDR422C	YDR422C	YDR422C	SIP1	Alternate beta-subunit of the Snf1p kinase complex; may confer substrate specificity; vacuolar protein containing KIS (Kinase-Interacting Sequence) and ASC (Association with Snf1 kinase Complex) domains involved in protein interactions [Source:SGD;Acc:S000002830]
YDR423C	YDR423C	YDR423C	CAD1	"AP-1-like basic leucine zipper (bZIP) transcriptional activator; involved in stress responses, iron metabolism, and pleiotropic drug resistance; controls a set of genes involved in stabilizing proteins; binds consensus sequence TTACTAA; CAD1 has a paralog, YAP1, that arose from the whole genome duplication [Source:SGD;Acc:S000002831]"
YDR424C	YDR424C	YDR424C	DYN2	"Cytoplasmic light chain dynein, microtubule motor protein; required for intracellular transport and cell division; involved in mitotic spindle positioning; forms complex with dynein intermediate chain Pac11p that promotes Dyn1p homodimerization, potentiates motor processivity; Dyn2p-Pac11p complex important for interaction of dynein motor complex with dynactin complex; acts as molecular glue to dimerize, stabilize Nup82-Nsp1-Nup159 complex module of cytoplasmic pore filaments [Source:SGD;Acc:S000002832]"
YDR425W	YDR425W	YDR425W	SNX41	Sorting nexin; involved in the retrieval of late-Golgi SNAREs from the post-Golgi endosome to the trans-Golgi network; interacts with Snx4p [Source:SGD;Acc:S000002833]
YDR426C	YDR426C	YDR426C		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SNX41 [Source:SGD;Acc:S000002834]"
YDR427W	YDR427W	YDR427W	RPN9	Non-ATPase regulatory subunit of the 26S proteasome; similar to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000002835]
YDR428C	YDR428C	YDR428C	BNA7	Formylkynurenine formamidase; involved in the de novo biosynthesis of NAD from tryptophan via kynurenine [Source:SGD;Acc:S000002836]
YDR429C	YDR429C	YDR429C	TIF35	eIF3g subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; is essential for translation; stimulates resumption of ribosomal scanning during translation reinitiation [Source:SGD;Acc:S000002837]
YDR430C	YDR430C	YDR430C	CYM1	Lysine-specific metalloprotease of the pitrilysin family; metalloprotease of the intermembrane space; degrades proteins and presequence peptides cleaved from imported proteins; required for normal mitochondrial morphology [Source:SGD;Acc:S000002838]
YDR431W	YDR431W	YDR431W		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002839]"
YDR432W	YDR432W	YDR432W	NPL3	"RNA-binding protein; promotes elongation, regulates termination, and carries poly(A) mRNA from nucleus to cytoplasm; represses translation initiation by binding eIF4G; required for pre-mRNA splicing; interacts with E3 ubiquitin ligase Bre1p, linking histone ubiquitination to mRNA processing; may have role in telomere maintenance; dissociation from mRNAs promoted by Mtr10p; phosphorylated by Sky1p in cytoplasm; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002840]"
YDR433W	YDR433W	YDR433W		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002841]"
YDR434W	YDR434W	YDR434W	GPI17	Transmembrane protein; subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins; human PIG-S homolog [Source:SGD;Acc:S000002842]
YDR435C	YDR435C	YDR435C	PPM1	"Carboxyl methyltransferase; methylates the C terminus of the protein phosphatase 2A catalytic subunit (Pph21p or Pph22p), which is important for complex formation with regulatory subunits; required for methionine to inhibit autophagy and promote growth [Source:SGD;Acc:S000002843]"
YDR436W	YDR436W	YDR436W	PPZ2	"Serine/threonine protein phosphatase Z, isoform of Ppz1p; involved in regulation of potassium transport, which affects osmotic stability, cell cycle progression, and halotolerance [Source:SGD;Acc:S000002844]"
YDR437W	YDR437W	YDR437W	GPI19	Subunit of GPI-GlcNAc transferase involved in synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in glycosylphosphatidylinositol (GPI) anchor synthesis; shares similarity with mammalian PIG-P [Source:SGD;Acc:S000002845]
YDR438W	YDR438W	YDR438W	THI74	"Mitochondrial transporter repressible by thiamine; THI74 has a paralog, YML018C, that arose from the whole genome duplication; shows sequence homology to human gene SLC35F3, a thiamine transporter implicated in hypertension [Source:SGD;Acc:S000002846]"
YDR439W	YDR439W	YDR439W	LRS4	Nucleolar protein that forms a complex with Csm1p; and then Mam1p at kinetochores during meiosis I to mediate accurate homolog segregation; required for condensin recruitment to the replication fork barrier site and rDNA repeat segregation [Source:SGD;Acc:S000002847]
YDR440W	YDR440W	YDR440W	DOT1	"Nucleosomal histone H3-Lys79 methylase; methylation is required for telomeric silencing, meiotic checkpoint control, and DNA damage response [Source:SGD;Acc:S000002848]"
YDR441C	YDR441C	YDR441C	APT2	"Potential adenine phosphoribosyltransferase; encodes a protein with similarity to adenine phosphoribosyltransferase, but artificially expressed protein exhibits no enzymatic activity; APT2 has a paralog, APT1, that arose from the whole genome duplication [Source:SGD;Acc:S000002849]"
YDR442W	YDR442W	YDR442W		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002850]"
YDR443C	YDR443C	YDR443C	SSN2	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for stable association of Srb10p-Srb11p kinase; essential for transcriptional regulation [Source:SGD;Acc:S000002851]
YDR444W	YDR444W	YDR444W		Putative hydrolase acting on ester bonds [Source:SGD;Acc:S000002852]
YDR445C	YDR445C	YDR445C		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002853]"
YDR446W	YDR446W	YDR446W	ECM11	"Meiosis-specific protein; component of the Synaptonemal Complex (SC) along with Gmc2p; required for efficient crossover formation and for the efficient loading of the SC transverse filament protein, Zip1p; is SUMOlytaed in a Gmc2p manner, and SUMOylation is required for its function in meiosis; GFP fusion protein is present in discrete clusters in the nucleus throughout mitosis; may be involved in maintaining chromatin structure [Source:SGD;Acc:S000002854]"
YDR447C	YDR447C	YDR447C	RPS17B	"Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17, no bacterial homolog; RPS17B has a paralog, RPS17A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002855]"
YDR448W	YDR448W	YDR448W	ADA2	Transcription coactivator; component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes [Source:SGD;Acc:S000002856]
YDR449C	YDR449C	YDR449C	UTP6	Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA [Source:SGD;Acc:S000002857]
YDR450W	YDR450W	YDR450W	RPS18A	"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S18 and bacterial S13; RPS18A has a paralog, RPS18B, that arose from the whole genome duplication; protein increases in abundance and relocalizes from cytoplasm to nuclear foci upon DNA replication stress [Source:SGD;Acc:S000002858]"
YDR451C	YDR451C	YDR451C	YHP1	"Homeobox transcriptional repressor; binds Mcm1p and early cell cycle box (ECB) elements of cell cycle regulated genes, thereby restricting ECB-mediated transcription to the M/G1 interval; YHP1 has a paralog, YOX1, that arose from the whole genome duplication [Source:SGD;Acc:S000002859]"
YDR452W	YDR452W	YDR452W	PPN1	Vacuolar endopolyphosphatase with a role in phosphate metabolism; functions as a homodimer; relocalizes from vacuole to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000002860]
YDR453C	YDR453C	YDR453C	TSA2	"Stress inducible cytoplasmic thioredoxin peroxidase; cooperates with Tsa1p in the removal of reactive oxygen, nitrogen and sulfur species using thioredoxin as hydrogen donor; deletion enhances the mutator phenotype of tsa1 mutants; protein abundance increases in response to DNA replication stress; TSA2 has a paralog, TSA1, that arose from the whole genome duplication [Source:SGD;Acc:S000002861]"
YDR454C	YDR454C	YDR454C	GUK1	Guanylate kinase; converts GMP to GDP; required for growth and mannose outer chain elongation of cell wall N-linked glycoproteins [Source:SGD;Acc:S000002862]
YDR455C	YDR455C	YDR455C		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YDR456W [Source:SGD;Acc:S000002863]"
YDR456W	YDR456W	YDR456W	NHX1	"Na+/H+ and K+/H+ exchanger; required for intracellular sequestration of Na+ and K+; located in the vacuole and late endosome compartments; required for osmotolerance to acute hypertonic shock and for vacuolar fusion; ortholog of human NHE9, which is linked to autism [Source:SGD;Acc:S000002864]"
YDR457W	YDR457W	YDR457W	TOM1	E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase [Source:SGD;Acc:S000002865]
YDR458C	YDR458C	YDR458C	HEH2	"Inner nuclear membrane (INM) protein; contains helix-extension-helix (HEH) motif, nuclear localization signal sequence; targeting to the INM requires the Srp1p-Kap95p karyopherins and the Ran cycle; HEH2 has a paralog, SRC1, that arose from the whole genome duplication [Source:SGD;Acc:S000002866]"
YDR459C	YDR459C	YDR459C	PFA5	Palmitoyltransferase with autoacylation activity; likely functions in pathway(s) outside Ras; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain [Source:SGD;Acc:S000002867]
YDR460W	YDR460W	YDR460W	TFB3	"Subunit of TFIIH and nucleotide excision repair factor 3 complexes; involved in transcription initiation, required for nucleotide excision repair; ring finger protein similar to mammalian CAK and TFIIH subunit [Source:SGD;Acc:S000002868]"
YDR461C-A	YDR461C-A	YDR461C-A		Putative protein of unknown function [Source:SGD;Acc:S000087209]
YDR461W	YDR461W	YDR461W	MFA1	"Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2 [Source:SGD;Acc:S000002869]"
YDR462W	YDR462W	YDR462W	MRPL28	Mitochondrial ribosomal protein of the large subunit; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002870]
YDR463W	YDR463W	YDR463W	STP1	"Transcription factor; contains a N-terminal regulatory motif (RI) that acts as a cytoplasmic retention determinant and as an Asi dependent degron in the nucleus; undergoes proteolytic processing by SPS (Ssy1p-Ptr3p-Ssy5p)-sensor component Ssy5p in response to extracellular amino acids; activates transcription of amino acid permease genes and may have a role in tRNA processing; STP1 has a paralog, STP2, that arose from the whole genome duplication [Source:SGD;Acc:S000002871]"
YDR464C-A	YDR464C-A	YDR464C-A		"Dubious open reading frame unlikely to encode a functional protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching [Source:SGD;Acc:S000028614]"
YDR464W	YDR464W	YDR464W	SPP41	Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000002872]
YDR465C	YDR465C	YDR465C	RMT2	Arginine N5 methyltransferase; methylates ribosomal protein Rpl12 (L12) on Arg67; relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000002873]
YDR466W	YDR466W	YDR466W	PKH3	Protein kinase with similarity to mammalian PDK1 and yeast Pkh1p/Phk2p; yeast Pkh1p and Pkh2p are two redundant upstream activators of Pkc1p; identified as a multicopy suppressor of a pkh1 pkh2 double mutant [Source:SGD;Acc:S000002874]
YDR467C	YDR467C	YDR467C		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002875]"
YDR468C	YDR468C	YDR468C	TLG1	Essential t-SNARE that mediates fusion of vesicles with the late Golgi; forms a complex with Tlg2p and Vti1p; mediates fusion of endosome-derived vesicles with the late Golgi; binds the docking complex VFT (Vps fifty-three) through interaction with Vps51p [Source:SGD;Acc:S000002876]
YDR469W	YDR469W	YDR469W	SDC1	Subunit of the COMPASS (Set1C) complex; COMPASS methylates lysine 4 of histone H3 and is required in chromatin silencing at telomeres; contains a Dpy-30 domain that mediates interaction with Bre2p; similar to C. elegans and human DPY-30 [Source:SGD;Acc:S000002877]
YDR470C	YDR470C	YDR470C	UGO1	Outer membrane component of the mitochondrial fusion machinery; binds directly to Fzo1p and Mgm1p and thus links these two GTPases during mitochondrial fusion; involved in fusion of both the outer and inner membranes; facilitates dimerization of Fzo1p during fusion; import into the outer membrane is mediated by Tom70p and Mim1p; has similarity to carrier proteins but is not likely to function as a transmembrane transporter [Source:SGD;Acc:S000002878]
YDR471W	YDR471W	YDR471W	RPL27B	"Ribosomal 60S subunit protein L27B; homologous to mammalian ribosomal protein L27, no bacterial homolog; RPL27B has a paralog, RPL27A, that arose from the whole genome duplication [Source:SGD;Acc:S000002879]"
YDR472W	YDR472W	YDR472W	TRS31	"Core component of transport protein particle (TRAPP) complexes I-III; TRAPP complexes are related multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII) [Source:SGD;Acc:S000002880]"
YDR473C	YDR473C	YDR473C	PRP3	Splicing factor; component of the U4/U6-U5 snRNP complex [Source:SGD;Acc:S000002881]
YDR475C	YDR475C	YDR475C	JIP4	"Protein of unknown function; previously annotated as two separate ORFs, YDR474C and YDR475C, which were merged as a result of corrections to the systematic reference sequence; JIP4 has a paralog, YOR019W, that arose from the whole genome duplication [Source:SGD;Acc:S000002883]"
YDR476C	YDR476C	YDR476C		Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene [Source:SGD;Acc:S000002884]
YDR477W	YDR477W	YDR477W	SNF1	"AMP-activated serine/threonine protein kinase; found in a complex containing Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth in response to starvation; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ubiquitin ligase [Source:SGD;Acc:S000002885]"
YDR478W	YDR478W	YDR478W	SNM1	Ribonuclease MRP complex subunit; ribonuclease (RNase) MRP cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; binds to the NME1 RNA subunit of RNase MRP [Source:SGD;Acc:S000002886]
YDR479C	YDR479C	YDR479C	PEX29	"Peroxisomal integral membrane peroxin; involved in the regulation of peroxisomal size, number and distribution; genetic interactions suggest that Pex28p and Pex29p act at steps upstream of those mediated by Pex30p, Pex31p, and Pex32p; forms ER foci upon DNA replication stress [Source:SGD;Acc:S000002887]"
YDR480W	YDR480W	YDR480W	DIG2	"MAP kinase-responsive inhibitor of the Ste12p transcription factor; involved in the regulation of mating-specific genes and the invasive growth pathway; related regulators Dig1p and Dig2p bind to Ste12p; DIG2 has a paralog, DIG1, that arose from the whole genome duplication [Source:SGD;Acc:S000002888]"
YDR481C	YDR481C	YDR481C	PHO8	"Repressible vacuolar alkaline phosphatase; regulated by levels of Pi and by Pho4p, Pho9p, Pho80p, Pho81p and Pho85p; dephosphorylates phosphotyrosyl peptides; contributes to NAD+ metabolism by producing nicotinamide riboside from NMN [Source:SGD;Acc:S000002889]"
YDR482C	YDR482C	YDR482C	CWC21	Protein involved in RNA splicing by the spliceosome; component of a complex containing Cef1p; interacts genetically with ISY1 and BUD13; may bind RNA; has similarity to S. pombe Cwf21p [Source:SGD;Acc:S000002890]
YDR483W	YDR483W	YDR483W	KRE2	"Alpha1,2-mannosyltransferase of the Golgi; involved in protein mannosylation; KRE2 has a paralog, KTR6, that arose from the whole genome duplication [Source:SGD;Acc:S000002891]"
YDR484W	YDR484W	YDR484W	VPS52	"Component of the GARP (Golgi-associated retrograde protein) complex; GARP is required for the recycling of proteins from endosomes to the late Golgi, and for mitosis after DNA damage induced checkpoint arrest; involved in localization of actin and chitin; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p [Source:SGD;Acc:S000002892]"
YDR485C	YDR485C	YDR485C	VPS72	Htz1p-binding component of the SWR1 complex; exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; may function as a lock that prevents removal of H2AZ from nucleosomes; required for vacuolar protein sorting [Source:SGD;Acc:S000002893]
YDR486C	YDR486C	YDR486C	VPS60	Protein involved in late endosome to vacuole transport; cytoplasmic and vacuolar membrane protein; required for normal filament maturation during pseudohyphal growth; may function in targeting cargo proteins for degradation; interacts with Vta1p [Source:SGD;Acc:S000002894]
YDR487C	YDR487C	YDR487C	RIB3	"3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase); required for riboflavin biosynthesis from ribulose-5-phosphate, also has an unrelated function in mitochondrial respiration [Source:SGD;Acc:S000002895]"
YDR488C	YDR488C	YDR488C	PAC11	"Dynein intermediate chain, microtubule motor protein; required for intracellular transport and cell division; acts in cytoplasmic dynein pathway; forms complex with dynein light chain Dyn2p that promotes Dyn1p homodimerization and potentiates motor processivity; Dyn2p-Pac11p complex is also important for interaction of dynein motor complex with dynactin complex; forms cortical cytoplasmic microtubule capture site with Num1p; essential in the absence of CIN8 [Source:SGD;Acc:S000002896]"
YDR489W	YDR489W	YDR489W	SLD5	"Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p); complex is localized to DNA replication origins and implicated in assembly of the DNA replication machinery [Source:SGD;Acc:S000002897]"
YDR490C	YDR490C	YDR490C	PKH1	"Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p, components of signaling cascade required for maintenance of cell wall integrity; redundant with Pkh2p; PKH1 has a paralog, PKH2, that arose from the whole genome duplication [Source:SGD;Acc:S000002898]"
YDR491C	YDR491C	YDR491C		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002899]"
YDR492W	YDR492W	YDR492W	IZH1	"Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; transcription is regulated directly by Zap1p, expression induced by zinc deficiency and fatty acids; deletion increases sensitivity to elevated zinc; IZH1 has a paralog, IZH4, that arose from the whole genome duplication [Source:SGD;Acc:S000002900]"
YDR493W	YDR493W	YDR493W	MZM1	"Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels, which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog [Source:SGD;Acc:S000002901]"
YDR494W	YDR494W	YDR494W	RSM28	Mitochondrial ribosomal protein of the small subunit; genetic interactions suggest a possible role in promoting translation initiation [Source:SGD;Acc:S000002902]
YDR495C	YDR495C	YDR495C	VPS3	"Component of CORVET membrane tethering complex; cytoplasmic protein required for the sorting and processing of soluble vacuolar proteins, acidification of the vacuolar lumen, and assembly of the vacuolar H+-ATPase [Source:SGD;Acc:S000002903]"
