Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name	Description
ENSRNOP00000025303	ENSRNOT00000025303	ENSRNOG00000018677	Akt2	v-akt murine thymoma viral oncogene homolog 2 [Source:RGD Symbol;Acc:2082]
ENSRNOP00000025308	ENSRNOT00000025308	ENSRNOG00000018715	Clec10a	"C-type lectin domain family 10, member A [Source:RGD Symbol;Acc:621158]"
ENSRNOP00000025309	ENSRNOT00000025309	ENSRNOG00000018599	Gga2	"golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:RGD Symbol;Acc:1304800]"
ENSRNOP00000025312	ENSRNOT00000025312	ENSRNOG00000018669	Jak3	Janus kinase 3 [Source:RGD Symbol;Acc:2940]
ENSRNOP00000025314	ENSRNOT00000025314	ENSRNOG00000018681	Nes	nestin [Source:RGD Symbol;Acc:3162]
ENSRNOP00000025315	ENSRNOT00000025315	ENSRNOG00000018441	Ggt7	gamma-glutamyltransferase 7 [Source:RGD Symbol;Acc:619870]
ENSRNOP00000025317	ENSRNOT00000025317	ENSRNOG00000018729	Rad9a	RAD9 checkpoint clamp component A [Source:RGD Symbol;Acc:2319938]
ENSRNOP00000025319	ENSRNOT00000025319	ENSRNOG00000018736	Pnpla2	patatin-like phospholipase domain containing 2 [Source:RGD Symbol;Acc:1309044]
ENSRNOP00000025323	ENSRNOT00000025323	ENSRNOG00000018662	Amacr	alpha-methylacyl-CoA racemase [Source:RGD Symbol;Acc:3048]
ENSRNOP00000025325	ENSRNOT00000025325	ENSRNOG00000018387	Wdr7	WD repeat domain 7 [Source:RGD Symbol;Acc:619836]
ENSRNOP00000025327	ENSRNOT00000025327	ENSRNOG00000018673	Sec22b	SEC22 vesicle trafficking protein homolog B (S. cerevisiae) [Source:RGD Symbol;Acc:1309988]
ENSRNOP00000025335	ENSRNOT00000025335	ENSRNOG00000018741	Zfp318	zinc finger protein 318 [Source:RGD Symbol;Acc:1583221]
ENSRNOP00000025338	ENSRNOT00000025338	ENSRNOG00000018642	Leng8	leukocyte receptor cluster (LRC) member 8 [Source:RGD Symbol;Acc:1306180]
ENSRNOP00000025342	ENSRNOT00000025344	ENSRNOG00000018735	Cd74	"Cd74 molecule, major histocompatibility complex, class II invariant chain [Source:RGD Symbol;Acc:2313]"
ENSRNOP00000025343	ENSRNOT00000025342	ENSRNOG00000018752	Clcf1	cardiotrophin-like cytokine factor 1 [Source:RGD Symbol;Acc:1303171]
ENSRNOP00000025344	ENSRNOT00000025343	ENSRNOG00000018700	Mobp	myelin-associated oligodendrocyte basic protein [Source:RGD Symbol;Acc:3101]
ENSRNOP00000025348	ENSRNOT00000025346	ENSRNOG00000018749	Best4	bestrophin 4 [Source:RGD Symbol;Acc:1596200]
ENSRNOP00000025349	ENSRNOT00000025347	ENSRNOG00000018757	Insl3	insulin-like 3 [Source:RGD Symbol;Acc:620117]
ENSRNOP00000025353	ENSRNOT00000025353	ENSRNOG00000018653	Pfdn1	prefoldin subunit 1 [Source:RGD Symbol;Acc:1305603]
ENSRNOP00000025354	ENSRNOT00000025354	ENSRNOG00000018735	Cd74	"Cd74 molecule, major histocompatibility complex, class II invariant chain [Source:RGD Symbol;Acc:2313]"
ENSRNOP00000025355	ENSRNOT00000025355	ENSRNOG00000018690	Rgs17	regulator of G-protein signaling 17 [Source:RGD Symbol;Acc:1305515]
ENSRNOP00000025357	ENSRNOT00000025357	ENSRNOG00000018480	Capn9	calpain 9 [Source:RGD Symbol;Acc:70965]
ENSRNOP00000025361	ENSRNOT00000025362	ENSRNOG00000018770	Pmaip1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:RGD Symbol;Acc:1359266]
ENSRNOP00000025362	ENSRNOT00000025363	ENSRNOG00000018764	B3gnt3	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:RGD Symbol;Acc:1305151]"
ENSRNOP00000025365	ENSRNOT00000025365	ENSRNOG00000018716	Dennd2c	DENN/MADD domain containing 2C [Source:RGD Symbol;Acc:1308197]
ENSRNOP00000025372	ENSRNOT00000025372	ENSRNOG00000018748	Slc16a11	"solute carrier family 16, member 11 [Source:RGD Symbol;Acc:1311125]"
ENSRNOP00000025378	ENSRNOT00000025378	ENSRNOG00000018709	Patz1	POZ (BTB) and AT hook containing zinc finger 1 [Source:RGD Symbol;Acc:1308337]
ENSRNOP00000025381	ENSRNOT00000025382	ENSRNOG00000018745	Sgsm3	small G protein signaling modulator 3 [Source:RGD Symbol;Acc:735113]
ENSRNOP00000025382	ENSRNOT00000025381	ENSRNOG00000018651	Agtpbp1	ATP/GTP binding protein 1 [Source:RGD Symbol;Acc:1306307]
ENSRNOP00000025384	ENSRNOT00000025384	ENSRNOG00000018681	Nes	nestin [Source:RGD Symbol;Acc:3162]
ENSRNOP00000025385	ENSRNOT00000025385	ENSRNOG00000018781	Map1s	microtubule-associated protein 1S [Source:RGD Symbol;Acc:1308266]
ENSRNOP00000025386	ENSRNOT00000025386	ENSRNOG00000018791	Dnlz	DNL-type zinc finger [Source:RGD Symbol;Acc:1308635]
ENSRNOP00000025388	ENSRNOT00000025388	ENSRNOG00000018730	Pvrl2	poliovirus receptor-related 2 [Source:RGD Symbol;Acc:1309505]
ENSRNOP00000025389	ENSRNOT00000025389	ENSRNOG00000018782	Gmnn	"geminin, DNA replication inhibitor [Source:RGD Symbol;Acc:1308137]"
ENSRNOP00000025391	ENSRNOT00000025391	ENSRNOG00000018788	Btbd2	BTB (POZ) domain containing 2 [Source:RGD Symbol;Acc:1566094]
ENSRNOP00000025392	ENSRNOT00000025392	ENSRNOG00000018784	Jph3	junctophilin 3 [Source:RGD Symbol;Acc:1308416]
ENSRNOP00000025394	ENSRNOT00000025394	ENSRNOG00000018434	Stab1	stabilin 1 [Source:RGD Symbol;Acc:2324745]
ENSRNOP00000025398	ENSRNOT00000025398	ENSRNOG00000018773	Mtrf1l	mitochondrial translational release factor 1-like [Source:RGD Symbol;Acc:1598312]
ENSRNOP00000025399	ENSRNOT00000025399	ENSRNOG00000018687	Fbxw2	F-box and WD repeat domain containing 2 [Source:RGD Symbol;Acc:1310460]
ENSRNOP00000025403	ENSRNOT00000025403	ENSRNOG00000018785	Slc16a13	"solute carrier family 16, member 13 [Source:RGD Symbol;Acc:1359138]"
ENSRNOP00000025408	ENSRNOT00000025410	ENSRNOG00000018812	Rpp25	ribonuclease P/MRP 25 subunit [Source:RGD Symbol;Acc:1305290]
ENSRNOP00000025409	ENSRNOT00000025408	ENSRNOG00000018780	Sh3rf2	SH3 domain containing ring finger 2 [Source:RGD Symbol;Acc:1308415]
ENSRNOP00000025411	ENSRNOT00000025411	ENSRNOG00000018723	Cops7b	COP9 signalosome subunit 7B [Source:RGD Symbol;Acc:1306918]
ENSRNOP00000025413	ENSRNOT00000025412	ENSRNOG00000018718	Rpp30	ribonuclease P/MRP 30 subunit [Source:RGD Symbol;Acc:1595116]
ENSRNOP00000025415	ENSRNOT00000025415	ENSRNOG00000018322	Picalm	phosphatidylinositol binding clathrin assembly protein [Source:RGD Symbol;Acc:621054]
ENSRNOP00000025419	ENSRNOT00000025419	ENSRNOG00000018725	Phkg2	"phosphorylase kinase, gamma 2 (testis) [Source:RGD Symbol;Acc:620024]"
ENSRNOP00000025421	ENSRNOT00000025421	ENSRNOG00000018795	Rpl18a	ribosomal protein L18A [Source:RGD Symbol;Acc:1302976]
ENSRNOP00000025424	ENSRNOT00000025424	ENSRNOG00000018801	Klhdc4	kelch domain containing 4 [Source:MGI Symbol;Acc:MGI:2384569]
ENSRNOP00000025433	ENSRNOT00000025433	ENSRNOG00000018809	Psmd5	"proteasome 26S subunit, non-ATPase 5 [Source:RGD Symbol;Acc:1308434]"
ENSRNOP00000025434	ENSRNOT00000025434	ENSRNOG00000018792	Tekt4	tektin 4 [Source:RGD Symbol;Acc:1308075]
ENSRNOP00000025443	ENSRNOT00000025443	ENSRNOG00000010526	Dennd1a	DENN/MADD domain containing 1A [Source:RGD Symbol;Acc:1307927]
ENSRNOP00000025446	ENSRNOT00000025446	ENSRNOG00000018522	Echs1	"enoyl CoA hydratase, short chain, 1, mitochondrial [Source:RGD Symbol;Acc:69330]"
ENSRNOP00000025450	ENSRNOT00000025450	ENSRNOG00000018827	Htr7	"5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled [Source:RGD Symbol;Acc:71034]"
ENSRNOP00000025451	ENSRNOT00000025451	ENSRNOG00000018834	Sstr5	somatostatin receptor 5 [Source:RGD Symbol;Acc:3765]
ENSRNOP00000025453	ENSRNOT00000025453	ENSRNOG00000018820	Plac8l1	PLAC8-like 1 [Source:RGD Symbol;Acc:1588513]
ENSRNOP00000025458	ENSRNOT00000025458	ENSRNOG00000018760	Mpp7	"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) [Source:RGD Symbol;Acc:1305675]"
ENSRNOP00000025460	ENSRNOT00000025460	ENSRNOG00000018797	Myrip	myosin VIIA and Rab interacting protein [Source:RGD Symbol;Acc:727731]
ENSRNOP00000025462	ENSRNOT00000025462	ENSRNOG00000018566	Ctsl	cathepsin L [Source:RGD Symbol;Acc:2448]
ENSRNOP00000025465	ENSRNOT00000025465	ENSRNOG00000018842	Pou4f3	POU class 4 homeobox 3 [Source:RGD Symbol;Acc:1310459]
ENSRNOP00000025467	ENSRNOT00000025467	ENSRNOG00000018849	Tcerg1	transcription elongation regulator 1 [Source:RGD Symbol;Acc:1311748]
ENSRNOP00000025472	ENSRNOT00000025472	ENSRNOG00000018850	Ttc9b	tetratricopeptide repeat domain 9B [Source:RGD Symbol;Acc:1306256]
ENSRNOP00000025477	ENSRNOT00000025477	ENSRNOG00000018808	Vip	vasoactive intestinal peptide [Source:RGD Symbol;Acc:621647]
ENSRNOP00000025488	ENSRNOT00000025488	ENSRNOG00000018739	Pax7	paired box 7 [Source:RGD Symbol;Acc:1564360]
ENSRNOP00000025489	ENSRNOT00000025489	ENSRNOG00000018831	Klk5	kallikrein related-peptidase 5 [Source:MGI Symbol;Acc:MGI:1915918]
ENSRNOP00000025490	ENSRNOT00000025490	ENSRNOG00000018759	Slc45a2	"solute carrier family 45, member 2 [Source:RGD Symbol;Acc:1306690]"
ENSRNOP00000025491	ENSRNOT00000025491	ENSRNOG00000018829	RGD1308134	similar to RIKEN cDNA 1110020A23 [Source:RGD Symbol;Acc:1308134]
ENSRNOP00000025493	ENSRNOT00000025493	ENSRNOG00000018827	Htr7	"5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled [Source:RGD Symbol;Acc:71034]"
ENSRNOP00000025494	ENSRNOT00000025494	ENSRNOG00000018841	Sox8	SRY (sex determining region Y)-box 8 [Source:RGD Symbol;Acc:1309072]
ENSRNOP00000025495	ENSRNOT00000025495	ENSRNOG00000018775	Cystm1	cysteine-rich transmembrane module containing 1 [Source:RGD Symbol;Acc:2323233]
ENSRNOP00000025496	ENSRNOT00000025496	ENSRNOG00000018798	Bcan	brevican [Source:RGD Symbol;Acc:2194]
ENSRNOP00000025500	ENSRNOT00000025499	ENSRNOG00000018840	Rnf40	"ring finger protein 40, E3 ubiquitin protein ligase [Source:RGD Symbol;Acc:628638]"
ENSRNOP00000025501	ENSRNOT00000025501	ENSRNOG00000018832	RGD1564854	similar to divalent cation tolerant protein CUTA [Source:RGD Symbol;Acc:1564854]
ENSRNOP00000025506	ENSRNOT00000025506	ENSRNOG00000018746	Slc30a5	"solute carrier family 30 (zinc transporter), member 5 [Source:RGD Symbol;Acc:1306931]"
ENSRNOP00000025507	ENSRNOT00000025507	ENSRNOG00000018765	Pold4	"polymerase (DNA-directed), delta 4, accessory subunit [Source:RGD Symbol;Acc:1308519]"
ENSRNOP00000025510	ENSRNOT00000025510	ENSRNOG00000018818	Txnl1	thioredoxin-like 1 [Source:RGD Symbol;Acc:621717]
ENSRNOP00000025512	ENSRNOT00000025512	ENSRNOG00000018836	RGD1559896	similar to RIKEN cDNA 2310022B05 [Source:RGD Symbol;Acc:1559896]
ENSRNOP00000025518	ENSRNOT00000025518	ENSRNOG00000018790	Kcnh4	"potassium channel, voltage gated eag related subfamily H, member 4 [Source:RGD Symbol;Acc:621415]"
ENSRNOP00000025523	ENSRNOT00000025523	ENSRNOG00000023162	Car14	carbonic anhydrase 14 [Source:RGD Symbol;Acc:1599277]
ENSRNOP00000025525	ENSRNOT00000025525	ENSRNOG00000018816	Cox5a	"cytochrome c oxidase, subunit Va [Source:RGD Symbol;Acc:620607]"
ENSRNOP00000025528	ENSRNOT00000025528	ENSRNOG00000018874	Phf19	PHD finger protein 19 [Source:RGD Symbol;Acc:1310390]
ENSRNOP00000025529	ENSRNOT00000025529	ENSRNOG00000018403	Atg4b	"autophagy related 4B, cysteine peptidase [Source:RGD Symbol;Acc:1309664]"
ENSRNOP00000025531	ENSRNOT00000025531	ENSRNOG00000018691	Aurkaip1	aurora kinase A interacting protein 1 [Source:RGD Symbol;Acc:1303211]
ENSRNOP00000025534	ENSRNOT00000025534	ENSRNOG00000018899	Hc	hemolytic complement [Source:MGI Symbol;Acc:MGI:96031]
ENSRNOP00000025536	ENSRNOT00000025536	ENSRNOG00000018674	Ntrk3	"neurotrophic tyrosine kinase, receptor, type 3 [Source:RGD Symbol;Acc:3214]"
ENSRNOP00000025544	ENSRNOT00000025544	ENSRNOG00000026940	Rgsl2h	regulator of G-protein signaling like 2 homolog (mouse) [Source:RGD Symbol;Acc:735067]
ENSRNOP00000025546	ENSRNOT00000025546	ENSRNOG00000018878	Ssh3	slingshot protein phosphatase 3 [Source:RGD Symbol;Acc:1308679]
ENSRNOP00000025547	ENSRNOT00000025547	ENSRNOG00000018892	Hcrt	hypocretin neuropeptide precursor [Source:RGD Symbol;Acc:2786]
ENSRNOP00000025548	ENSRNOT00000025548	ENSRNOG00000018884	Ttc13	tetratricopeptide repeat domain 13 [Source:RGD Symbol;Acc:1310186]
ENSRNOP00000025550	ENSRNOT00000025550	ENSRNOG00000018767	Rbm17	RNA binding motif protein 17 [Source:RGD Symbol;Acc:1311208]
ENSRNOP00000025552	ENSRNOT00000025556	ENSRNOG00000038784	Piezo2	piezo-type mechanosensitive ion channel component 2 [Source:RGD Symbol;Acc:1582973]
ENSRNOP00000025554	ENSRNOT00000025553	ENSRNOG00000018550	Ncbp3	nuclear cap binding subunit 3 [Source:RGD Symbol;Acc:1308139]
ENSRNOP00000025559	ENSRNOT00000025559	ENSRNOG00000018796	Herpud1	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:RGD Symbol;Acc:620818]"
ENSRNOP00000025560	ENSRNOT00000025560	ENSRNOG00000018910	Abhd11	abhydrolase domain containing 11 [Source:RGD Symbol;Acc:1304681]
ENSRNOP00000025564	ENSRNOT00000025564	ENSRNOG00000018895	Mchr1	melanin-concentrating hormone receptor 1 [Source:RGD Symbol;Acc:619841]
ENSRNOP00000025569	ENSRNOT00000025569	ENSRNOG00000018917	Foxi2	forkhead box I2 [Source:RGD Symbol;Acc:621739]
ENSRNOP00000025570	ENSRNOT00000025570	ENSRNOG00000018668	Glg1	golgi glycoprotein 1 [Source:RGD Symbol;Acc:69345]
ENSRNOP00000025574	ENSRNOT00000025574	ENSRNOG00000018860	Mtg1	mitochondrial ribosome-associated GTPase 1 [Source:RGD Symbol;Acc:6497155]
ENSRNOP00000025575	ENSRNOT00000025575	ENSRNOG00000018923	AABR07041089.1	
ENSRNOP00000025577	ENSRNOT00000025576	ENSRNOG00000018822	Slc5a5	"solute carrier family 5 (sodium/iodide cotransporter), member 5 [Source:RGD Symbol;Acc:69267]"
ENSRNOP00000025580	ENSRNOT00000025580	ENSRNOG00000018915	Tagap	T-cell activation RhoGTPase activating protein [Source:RGD Symbol;Acc:1308618]
ENSRNOP00000025581	ENSRNOT00000025581	ENSRNOG00000048765	AABR07002774.1	
ENSRNOP00000025582	ENSRNOT00000025582	ENSRNOG00000018854	Nppc	natriuretic peptide C [Source:RGD Symbol;Acc:620850]
ENSRNOP00000025585	ENSRNOT00000025585	ENSRNOG00000018905	Armc4	armadillo repeat containing 4 [Source:RGD Symbol;Acc:1306933]
ENSRNOP00000025586	ENSRNOT00000025586	ENSRNOG00000018928	Zfp780b-ps1	"zinc finger protein 780B, pseudogene 1 [Source:RGD Symbol;Acc:2321719]"
ENSRNOP00000025590	ENSRNOT00000025590	ENSRNOG00000018906	Ghdc	GH3 domain containing [Source:RGD Symbol;Acc:1308881]
ENSRNOP00000025592	ENSRNOT00000025592	ENSRNOG00000018783	Bcas2	breast carcinoma amplified sequence 2 [Source:RGD Symbol;Acc:1306485]
ENSRNOP00000025598	ENSRNOT00000025598	ENSRNOG00000018863	Abcc10	"ATP-binding cassette, subfamily C (CFTR/MRP), member 10 [Source:RGD Symbol;Acc:1306696]"
ENSRNOP00000025600	ENSRNOT00000025600	ENSRNOG00000018946	Trim33	tripartite motif-containing 33 [Source:RGD Symbol;Acc:1307339]
ENSRNOP00000025606	ENSRNOT00000025606	ENSRNOG00000018943	Tnnc1	troponin C type 1 (slow) [Source:RGD Symbol;Acc:1309921]
ENSRNOP00000025608	ENSRNOT00000025608	ENSRNOG00000018945	Nutf2	nuclear transport factor 2 [Source:RGD Symbol;Acc:1359213]
ENSRNOP00000025609	ENSRNOT00000025609	ENSRNOG00000018927	Sprn	shadow of prion protein homolog (zebrafish) [Source:RGD Symbol;Acc:1561845]
ENSRNOP00000025611	ENSRNOT00000025611	ENSRNOG00000018955	Olr286	olfactory receptor 286 [Source:RGD Symbol;Acc:1333221]
ENSRNOP00000025614	ENSRNOT00000025614	ENSRNOG00000018864	Klk4	kallikrein-related peptidase 4 [Source:RGD Symbol;Acc:1303228]
ENSRNOP00000025615	ENSRNOT00000025615	ENSRNOG00000018848	Eif1b	eukaryotic translation initiation factor 1B [Source:RGD Symbol;Acc:1309241]
ENSRNOP00000025616	ENSRNOT00000025616	ENSRNOG00000018858	Myct1	myc target 1 [Source:RGD Symbol;Acc:1311467]
ENSRNOP00000025618	ENSRNOT00000025618	ENSRNOG00000018916	Bcl7c	B-cell CLL/lymphoma 7C [Source:RGD Symbol;Acc:1308439]
ENSRNOP00000025621	ENSRNOT00000025621	ENSRNOG00000018940	Slc28a1	"solute carrier family 28 (concentrative nucleoside transporter), member 1 [Source:RGD Symbol;Acc:621223]"
ENSRNOP00000025623	ENSRNOT00000025623	ENSRNOG00000018938	Mkx	mohawk homeobox [Source:RGD Symbol;Acc:1305652]
ENSRNOP00000025624	ENSRNOT00000025624	ENSRNOG00000018870	Hapln2	hyaluronan and proteoglycan link protein 2 [Source:RGD Symbol;Acc:621854]
ENSRNOP00000025625	ENSRNOT00000025625	ENSRNOG00000018950	Fa2h	fatty acid 2-hydroxylase [Source:RGD Symbol;Acc:1310347]
ENSRNOP00000025626	ENSRNOT00000025626	ENSRNOG00000018932	Ccdc124	coiled-coil domain containing 124 [Source:RGD Symbol;Acc:1310931]
ENSRNOP00000025627	ENSRNOT00000025627	ENSRNOG00000018697	Abcb6	"ATP-binding cassette, subfamily B (MDR/TAP), member 6 [Source:RGD Symbol;Acc:71077]"
ENSRNOP00000025629	ENSRNOT00000025629	ENSRNOG00000018815	Plk1	polo-like kinase 1 [Source:RGD Symbol;Acc:3352]
ENSRNOP00000025631	ENSRNOT00000025631	ENSRNOG00000047662	Klk1c12	kallikrein 1-related peptidase C12 [Source:RGD Symbol;Acc:1303192]
ENSRNOP00000025633	ENSRNOT00000025633	ENSRNOG00000018946	Trim33	tripartite motif-containing 33 [Source:RGD Symbol;Acc:1307339]
ENSRNOP00000025634	ENSRNOT00000025634	ENSRNOG00000018971	Mob3a	MOB kinase activator 3A [Source:RGD Symbol;Acc:1308187]
ENSRNOP00000025638	ENSRNOT00000025638	ENSRNOG00000018949	Dlk2	delta-like 2 homolog (Drosophila) [Source:RGD Symbol;Acc:1309143]
ENSRNOP00000025641	ENSRNOT00000025641	ENSRNOG00000028247	Ankrd13d	"ankyrin repeat domain 13 family, member D [Source:RGD Symbol;Acc:1309156]"
ENSRNOP00000025644	ENSRNOT00000025644	ENSRNOG00000018904	Dtymk	deoxythymidylate kinase (thymidylate kinase) [Source:RGD Symbol;Acc:1309614]
ENSRNOP00000025646	ENSRNOT00000025646	ENSRNOG00000018962	Ctf1	cardiotrophin 1 [Source:RGD Symbol;Acc:2442]
ENSRNOP00000025649	ENSRNOT00000025649	ENSRNOG00000018901	Rab14	"RAB14, member RAS oncogene family [Source:RGD Symbol;Acc:620881]"
ENSRNOP00000025651	ENSRNOT00000025651	ENSRNOG00000018766	Rrp8	"ribosomal RNA processing 8, methyltransferase, homolog (yeast) [Source:RGD Symbol;Acc:1308302]"
ENSRNOP00000025652	ENSRNOT00000025652	ENSRNOG00000018740	Ugt1a8	"UDP glycosyltransferase 1 family, polypeptide A8 [Source:RGD Symbol;Acc:708474]"
ENSRNOP00000025653	ENSRNOT00000025653	ENSRNOG00000018987	Crebzf	CREB/ATF bZIP transcription factor [Source:RGD Symbol;Acc:1565584]
ENSRNOP00000025656	ENSRNOT00000025656	ENSRNOG00000018952	Sema3g	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G [Source:RGD Symbol;Acc:1306079]"
ENSRNOP00000025657	ENSRNOT00000025657	ENSRNOG00000018964	Gss	glutathione synthetase [Source:RGD Symbol;Acc:2752]
ENSRNOP00000025660	ENSRNOT00000025660	ENSRNOG00000018980	Tjap1	tight junction associated protein 1 [Source:RGD Symbol;Acc:1308708]
ENSRNOP00000025663	ENSRNOT00000025663	ENSRNOG00000018982	Entpd3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:RGD Symbol;Acc:631326]
ENSRNOP00000025664	ENSRNOT00000025664	ENSRNOG00000018847	Stx5	syntaxin 5 [Source:RGD Symbol;Acc:68426]
ENSRNOP00000025669	ENSRNOT00000025669	ENSRNOG00000018958	Mt3	metallothionein 3 [Source:RGD Symbol;Acc:621252]
ENSRNOP00000025675	ENSRNOT00000025675	ENSRNOG00000018650	Ap3m2	"adaptor-related protein complex 3, mu 2 subunit [Source:RGD Symbol;Acc:70969]"
ENSRNOP00000025680	ENSRNOT00000025680	ENSRNOG00000036647	LOC680907	similar to scavenger receptor cysteine-rich type 1 protein M160 precursor [Source:RGD Symbol;Acc:1585882]
ENSRNOP00000025683	ENSRNOT00000025683	ENSRNOG00000018988	Ing5	"inhibitor of growth family, member 5 [Source:RGD Symbol;Acc:1307908]"
ENSRNOP00000025686	ENSRNOT00000025686	ENSRNOG00000018954	Tsnaxip1	translin-associated factor X interacting protein 1 [Source:RGD Symbol;Acc:1565341]
ENSRNOP00000025687	ENSRNOT00000025687	ENSRNOG00000018903	Pik3r1	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha) [Source:RGD Symbol;Acc:3329]"
ENSRNOP00000025689	ENSRNOT00000025689	ENSRNOG00000018937	Gstm2	glutathione S-transferase mu 2 [Source:RGD Symbol;Acc:2756]
ENSRNOP00000025693	ENSRNOT00000025693	ENSRNOG00000018865	Adamts12	"ADAM metallopeptidase with thrombospondin type 1 motif, 12 [Source:RGD Symbol;Acc:1307323]"
ENSRNOP00000025694	ENSRNOT00000025694	ENSRNOG00000019004	Mt4	metallothionein 4 [Source:RGD Symbol;Acc:1565500]
ENSRNOP00000025695	ENSRNOT00000025695	ENSRNOG00000018909	Arv1	ARV1 fatty acid homeostatsis modulator [Source:RGD Symbol;Acc:1310264]
ENSRNOP00000025699	ENSRNOT00000025699	ENSRNOG00000018974	Ern2	endoplasmic reticulum to nucleus signaling 2 [Source:RGD Symbol;Acc:1308743]
ENSRNOP00000025700	ENSRNOT00000025700	ENSRNOG00000018911	Pfkfb3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:RGD Symbol;Acc:619776]"
ENSRNOP00000025701	ENSRNOT00000025701	ENSRNOG00000029237	Klk1c2	kallikrein 1-related peptidase C2 [Source:RGD Symbol;Acc:3888]
ENSRNOP00000025705	ENSRNOT00000025705	ENSRNOG00000019022	Fam89a	"family with sequence similarity 89, member A [Source:RGD Symbol;Acc:1309879]"
ENSRNOP00000025711	ENSRNOT00000025711	ENSRNOG00000019012	D2hgdh	D-2-hydroxyglutarate dehydrogenase [Source:RGD Symbol;Acc:1307976]
ENSRNOP00000025716	ENSRNOT00000025716	ENSRNOG00000019028	Znrf1	"zinc and ring finger 1, E3 ubiquitin protein ligase [Source:RGD Symbol;Acc:1592195]"
ENSRNOP00000025718	ENSRNOT00000025718	ENSRNOG00000018835	Notch2	notch 2 [Source:RGD Symbol;Acc:3188]
ENSRNOP00000025723	ENSRNOT00000025723	ENSRNOG00000032857	Klk1c9	kallikrein 1-related peptidase C9 [Source:RGD Symbol;Acc:727805]
ENSRNOP00000025725	ENSRNOT00000025725	ENSRNOG00000019019	Fitm1	fat storage-inducing transmembrane protein 1 [Source:RGD Symbol;Acc:1306911]
ENSRNOP00000025731	ENSRNOT00000025731	ENSRNOG00000018911	Pfkfb3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:RGD Symbol;Acc:619776]"
ENSRNOP00000025732	ENSRNOT00000025732	ENSRNOG00000039730	Orai3	ORAI calcium release-activated calcium modulator 3 [Source:RGD Symbol;Acc:1306538]
ENSRNOP00000025733	ENSRNOT00000025733	ENSRNOG00000019044	Adam30	ADAM metallopeptidase domain 30 [Source:RGD Symbol;Acc:1594713]
ENSRNOP00000025740	ENSRNOT00000025740	ENSRNOG00000018975	Atg9a	autophagy related 9A [Source:RGD Symbol;Acc:1310450]
ENSRNOP00000025743	ENSRNOT00000025743	ENSRNOG00000019043	Pdcd1	programmed cell death 1 [Source:RGD Symbol;Acc:1311658]
ENSRNOP00000025745	ENSRNOT00000025745	ENSRNOG00000018853	Slc28a3	"solute carrier family 28 (concentrative nucleoside transporter), member 3 [Source:RGD Symbol;Acc:621224]"
ENSRNOP00000025746	ENSRNOT00000025746	ENSRNOG00000019017	Gstm6	"glutathione S-transferase, mu 6 [Source:RGD Symbol;Acc:1563391]"
ENSRNOP00000025756	ENSRNOT00000025756	ENSRNOG00000019062	Pura	purine rich element binding protein A [Source:RGD Symbol;Acc:1308543]
ENSRNOP00000025758	ENSRNOT00000025758	ENSRNOG00000018920	Slc25a17	"solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17 [Source:RGD Symbol;Acc:1311498]"
ENSRNOP00000025761	ENSRNOT00000025761	ENSRNOG00000019059	Zfp1	zinc finger protein 1 [Source:RGD Symbol;Acc:1565049]
ENSRNOP00000025763	ENSRNOT00000025764	ENSRNOG00000019039	Inpp5e	inositol polyphosphate-5-phosphatase E [Source:RGD Symbol;Acc:620478]
ENSRNOP00000025764	ENSRNOT00000025763	ENSRNOG00000019018	Plat	"plasminogen activator, tissue [Source:RGD Symbol;Acc:3342]"
ENSRNOP00000025767	ENSRNOT00000025767	ENSRNOG00000018881	Rnasek	"ribonuclease, RNase K [Source:RGD Symbol;Acc:1305687]"
ENSRNOP00000025769	ENSRNOT00000025769	ENSRNOG00000018998	Yipf3	"Yip1 domain family, member 3 [Source:RGD Symbol;Acc:1308185]"
ENSRNOP00000025770	ENSRNOT00000025770	ENSRNOG00000019050	Ifit1	interferon-induced protein with tetratricopeptide repeats 1 [Source:RGD Symbol;Acc:620599]
ENSRNOP00000025777	ENSRNOT00000025777	ENSRNOG00000033414	Klk1c3	kallikrein 1-related peptidase C3 [Source:RGD Symbol;Acc:735032]
ENSRNOP00000025779	ENSRNOT00000025779	ENSRNOG00000018931	Dis3l2	DIS3-like 3'-5' exoribonuclease 2 [Source:RGD Symbol;Acc:1560168]
